"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Cafeteria","International cuisine","816930","Department of Economic Development- Dubai","25.052678363670424,55.2016431838274","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1306344","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","850515","Department of Economic Development- Dubai","25.268406668281397,55.3786465468461","5.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","117938","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1043914","Department of Economic Development- Dubai","25.20918255080513,55.343921536780094","24.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","982387","Department of Economic Development- Dubai","25.115809755530012,55.20066469193269","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","613360","Department of Economic Development- Dubai","25.210585345796957,55.27098080029282","9.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","766189","Department of Economic Development- Dubai","24.92418, 55.010396","2.00","2026-06-29T16:24:56.000Z"
"School","","812999","Department of Economic Development- Dubai","25.14067127645541,55.36683440208435","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","567972","Department of Economic Development- Dubai","25.063480726179147,55.247674067342366","11.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai","25.2352624,55.3033014","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1257396","Department of Economic Development- Dubai","25.2049, 55.271","84.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","978964","Department of Economic Development- Dubai","25.24011549456888,55.30097812414169","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","596799","Department of Economic Development- Dubai","25.118226629670033,55.208016052183666","47.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","527649","Department of Economic Development- Dubai","25.229935954687438,55.37722816583482","12.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Others","547944","Department of Economic Development- Dubai","25.254222631837372,55.33214456924439","0.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","Others","217213","Department of Economic Development- Dubai","25.006122128586906,55.134431800201355","35.00","2026-06-29T16:24:56.000Z"
"Training Centre","Not Applicable","203303","Department of Economic Development- Dubai","25.11568544430835,55.1952006477722","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","548551","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Not Applicable","1087444","Department of Economic Development- Dubai","25.11157897607269,55.17276048660278","8.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","Not Applicable","217213","Department of Economic Development- Dubai","25.232637982463523,55.311048321731505","33.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","American Cuisine","891428","Department of Economic Development- Dubai","25.122167626783117,55.3740012645721","0.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.226966874227152,55.32167716843105","6.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","87.00","2026-06-29T16:24:56.000Z"
"Food Truck- Permanent Location","International cuisine","830152","Department of Economic Development- Dubai","25.234330723356738,55.47487694626464","21.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","948902","Department of Economic Development- Dubai","25.232927634492267,55.50891300780249","5.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","228220","Department of Economic Development- Dubai","25.204929,55.270840","16.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","1198300","Department of Economic Development- Dubai","25.182925393366776,55.2831184792595","17.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","164219","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","690501","Department of Economic Development- Dubai","25.140059389557663,55.13237714767456","9.00","2026-06-29T16:24:56.000Z"
"Food Karts","Not Applicable","687133","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","200610","Department of Economic Development- Dubai","25.174633149070218,55.3885054919982","32.00","2026-06-29T16:24:56.000Z"
"Hotel","Not Applicable","967997","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","","628505","Department of Economic Development- Dubai","25.2608988,55.3177427","3.00","2026-06-29T16:24:56.000Z"
"Catering to Schools","Not Applicable","906350","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","1350181","Department of Economic Development- Dubai","24.4962491, 54.3746747","5.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","Not Applicable","201716","Department of Economic Development- Dubai","25.261320500000004,55.315429200000004","5.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","129036","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Roastery","Not Applicable","834458","Department of Economic Development- Dubai","24.9523212,55.4983953","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","734324","Department of Economic Development- Dubai","25.164851384551994,55.25173965432883","2.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07191681784736,55.30448913574219","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","African cuisine","741966","Department of Economic Development- Dubai","25.269638558190756,55.29606014081479","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","675460","Department of Economic Development- Dubai","25.243231521882798,55.33984400331974","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Turkish cuisine","696933","Department of Economic Development- Dubai","25.291660411254224,55.39665798459225","34.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","624489","Department of Economic Development- Dubai","25.199155437207367,55.27907654643059","27.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","799666","Department of Economic Development- Dubai","25.182528999174593,55.265526757266024","2.00","2026-06-29T16:24:56.000Z"
"Global Village","","1041708","Department of Economic Development- Dubai","25.073782645952903,55.30448913574219","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1384220","Department of Economic Development- Dubai",",","10.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","572244","Department of Economic Development- Dubai",",","8.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","1080927","Department of Economic Development- Dubai","25.2248820509777,55.37100322544575","4.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","585863","Department of Economic Development- Dubai",",","9.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","842744","Department of Economic Development- Dubai","25.033536621134935,55.20211066877971","17.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Turkish cuisine","696933","Department of Economic Development- Dubai","25.207552401936695,55.262635946273804","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","613360","Department of Economic Development- Dubai","25.2826110213331,55.39844004323277","5.00","2026-06-29T16:24:56.000Z"
"Training Centre","","716091","Department of Economic Development- Dubai","25.2019783,55.272436","0.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","3.00","2026-06-29T16:24:56.000Z"
"Labour Accommodation Canteen/Catering","Not Applicable","229599","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","580746","Department of Economic Development- Dubai","25.143497571375836,55.20621299743652","1.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","Thai Cuisine","217213","Department of Economic Development- Dubai","25.14328776833536,55.246347552125144","242.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1063881","Department of Economic Development- Dubai","25.191229994931128,55.27838622014769","32.00","2026-06-29T16:24:56.000Z"
"Mini Store","Others","124996","Department of Economic Development- Dubai",",","26.00","2026-06-29T16:24:56.000Z"
"Juice, Ice cream & Dry Mixes Processing","International cuisine","997362","Department of Economic Development- Dubai","25.118709416056294,55.230417251586914","8.00","2026-06-29T16:24:56.000Z"
"Catering Services","Japanese Cuisine","762987","Department of Economic Development- Dubai","25.274270025552696,55.34170770030184","18.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","835300","Department of Economic Development- Dubai","25.12712351853645,55.11566211347656","2.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","840126","Department of Economic Development- Dubai","25.2710698,55.3015383","1.00","2026-06-29T16:24:56.000Z"
"Hypermarket","","939400","Department of Economic Development- Dubai","25.22199667736432,55.440753400325775","16.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.2617204,55.3149974","3.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","793079","Department of Economic Development- Dubai","25.184250612309697,55.26422917842865","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1003065","Department of Economic Development- Dubai",",","12.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.08085698592846,55.12265682220459","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","570590","Department of Economic Development- Dubai","25.153221546171668,55.239704917755134","28.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","1045172","Department of Economic Development- Dubai","25.239188707429612,55.298400186002254","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","568981","Department of Economic Development- Dubai","25.271210412156712,55.37988291540044","45.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","733813","Department of Economic Development- Dubai","25.28122603901957,55.314092823305145","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.213483319280662,55.27101516723633","15.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","1377520","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","24.96069330828729,55.150465965270996","7.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","1128063","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai","25.271010094826714,55.3544135749878","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","689520","Department of Economic Development- Dubai","25.1988821091051,55.27962281761251","3.00","2026-06-29T16:24:56.000Z"
"Four Star Hotels","Not Applicable","810956","Department of Economic Development- Dubai","25.204929,55.270840","52.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.10627459154217,55.38860321044922","23.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.196864372861896,55.2747917175293","12.00","2026-06-29T16:24:56.000Z"
